City,Year,Month,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
New Delhi,2015,01,1,14.7,21,10,-,76,-,0.6,3,11.1,-,o,,,o
New Delhi,2015,01,2,14.4,15,13,-,91,-,1.4,6.1,16.5,-,o,,,o
New Delhi,2015,01,3,14,17,11,-,91,0,0.6,4.8,13,-,,,,o
New Delhi,2015,01,4,,,,,,,,,,,,,,o
New Delhi,2015,01,5,,,,,,,,,,,,,,o
New Delhi,2015,01,6,,,,,,,,,,,,,,o
New Delhi,2015,01,7,9.1,12,6,-,91,0,0.5,6.7,13,-,,,,o
New Delhi,2015,01,8,8.4,10,7,-,95,0,0.5,5.7,11.1,-,,,,o
New Delhi,2015,01,9,9.7,15,7,-,89,0,0.8,5.9,11.1,-,,,,o
New Delhi,2015,01,10,,,,,,,,,,,,,,o
New Delhi,2015,01,11,,,,,,,,,,,,,,o
New Delhi,2015,01,12,,,,,,,,,,,,,,o
New Delhi,2015,01,13,11.7,17,6,-,83,0,0.8,10.9,18.3,-,,,,o
New Delhi,2015,01,14,11.3,15,6,-,89,-,0.8,9.4,20.6,-,o,,,o
New Delhi,2015,01,15,10.7,18,5,-,84,0,0.5,4.3,11.1,-,,,,o
New Delhi,2015,01,16,,,,,,,,,,,,,,o
New Delhi,2015,01,17,,,,,,,,,,,,,,o
New Delhi,2015,01,18,,,,,,,,,,,,,,o
New Delhi,2015,01,19,12.9,19,9,-,81,0,0.8,7.6,13,-,,,,o
New Delhi,2015,01,20,13.5,17,11,-,85,0,1.1,11.3,16.5,-,,,,o
New Delhi,2015,01,21,13.3,17,10,-,84,-,1.3,11.7,18.3,-,o,,,
New Delhi,2015,01,22,,,,,,,,,,,o,,,o
New Delhi,2015,01,23,,,,,,,,,,,,,,o
New Delhi,2015,01,24,,,,,,,,,,,,,,o
New Delhi,2015,01,25,11.9,17,9,-,88,-,1,7.6,14.8,-,o,,,o
New Delhi,2015,01,26,13.1,15,11,-,88,-,0.8,4.1,13,-,o,,,o
New Delhi,2015,01,27,11.8,17,8,-,84,0,0.8,10.7,16.5,-,,,,o
New Delhi,2015,01,28,,,,,,,,,,,,,,o
New Delhi,2015,01,29,,,,,,,,,,,,,,o
New Delhi,2015,01,30,,,,,,,,,,,,,,o
New Delhi,2015,01,31,13,20,6,-,70,0,1.9,7.2,20.6,27.8,,,,
New Delhi,2015,02,1,15.7,22,9,-,68,0,1.6,9.8,14.8,-,,,,
New Delhi,2015,02,2,17.3,23,12,-,70,-,1.8,15.6,24.1,37,o,,,
New Delhi,2015,02,3,15.6,22,10,-,82,0,1.4,13.5,22.2,-,,,,o
New Delhi,2015,02,4,,,,,,,,,,,,,,o
New Delhi,2015,02,5,,,,,,,,,,,,,,o
New Delhi,2015,02,6,,,,,,,,,,,,,,o
New Delhi,2015,02,7,17.1,24,10,-,58,0,1.9,3.7,11.1,-,,,,
New Delhi,2015,02,8,17.4,23,11,-,53,0,2.3,8.9,61.1,-,,,,
New Delhi,2015,02,9,16.8,24,10,-,62,0,2.1,10,18.3,-,,,,o
New Delhi,2015,02,10,,,,,,,,,,,,,,o
New Delhi,2015,02,11,,,,,,,,,,,,,,o
New Delhi,2015,02,12,,,,,,,,,,,,,,o
New Delhi,2015,02,13,17.3,25,9,-,55,0,2.6,8,22.2,-,,,,o
New Delhi,2015,02,14,20.5,27,12,-,52,0,2.6,8.1,18.3,-,,,,o
New Delhi,2015,02,15,19.4,27,12,-,60,0,1.4,7,16.5,-,,,,o
New Delhi,2015,02,16,,,,,,,,,,,,,,
New Delhi,2015,02,17,,,,,,,,,,,,,,o
New Delhi,2015,02,18,,,,,,,,,,,,,,
New Delhi,2015,02,19,24.1,29,20,-,66,0,1.9,15.9,22.2,-,,,o,o
New Delhi,2015,02,20,22.8,29,18,-,63,0,1.9,10.2,20.6,-,,,,
New Delhi,2015,02,21,21.3,27,16,-,59,0,2.3,13,22.2,-,,,,
New Delhi,2015,02,22,,,,,,,,,,,,,,o
New Delhi,2015,02,23,,,,,,,,,,,,,,o
New Delhi,2015,02,24,,,,,,,,,,,,,,o
New Delhi,2015,02,25,22.7,28,16,-,58,0,2.1,10.4,14.8,-,,,,
New Delhi,2015,02,26,19.6,27,14,-,36,0,2.7,9.4,18.3,-,,,,
New Delhi,2015,02,27,19.7,27,12,-,38,0,2.9,9.1,16.5,-,,,,
New Delhi,2015,02,28,,,,,,,,,,,o,,,
New Delhi,2015,03,1,16.9,19,15,-,94,-,2.3,17.6,27.8,42.4,o,,o,
New Delhi,2015,03,2,17,22,14,-,84,-,2.3,9.1,24.1,33.5,o,,o,
